Projectile: 6Li; target: 80Se; E = 22.19 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
24.13       0.998       0.115       
26.83       0.972       0.068       
30.03       1.003       0.018       
32.71       1.028       0.034       
35.23       1.041       0.048       
37.91       1.052       0.065       
40.61       1.039       0.044       
43.28       1.006       0.059       
45.58       0.904       0.032       
48.24       0.842       0.037       
51.01       0.729       0.042       
53.65       0.662       0.036       
55.82       0.584       0.015       
58.43       0.520       0.019       
61.04       0.450       0.021       
64.23       0.393       0.018       
66.74       0.339       0.021       
69.29       0.307       0.026       
71.96       0.256       0.019       
74.50       0.232       0.011       
76.79       0.189       0.008       
79.31       0.170       0.008       
82.03       0.136       0.009       
84.54       0.125       0.009       
86.68       0.099       0.007       
89.19       0.086       0.004       
91.73       0.073       0.004       
94.20       0.064       0.005       
97.20       0.049       0.003       
99.69       0.036       0.003       
102.22      0.037       0.003       
104.7       0.029       0.002       
106.87      0.028       0.003       
109.33      0.023       0.004       
111.91      0.023       0.001       
116.31      0.017       0.003       
118.75      0.015       0.002       
121.24      0.014       0.001       
123.66      0.009       0.003       
