Projectile: 6Li; target: 65Cu; E = 25.0 MeV
http://dx.doi.org/10.1016/j.physletb.2005.12.060
Angle       R/s
12.34       1.0098      0.0014      
15.06       1.0062      0.0021      
16.7        1.005       0.0027      
17.78       0.9644      0.001       
18.87       0.9996      0.0024      
21.05       1.0785      0.0038      
23.22       1.0972      0.003       
25.5        1.0933      0.0013      
25.93       1.1236      0.0045      
27.56       1.0757      0.0039      
28.64       1.0213      0.0025      
29.73       0.9451      0.0039      
31.89       0.9087      0.0055      
34.05       0.813       0.0038      
36.31       0.7054      0.0015      
36.74       0.7504      0.007       
38.36       0.6515      0.0055      
39.43       0.57        0.0023      
40.51       0.5444      0.0051      
42.65       0.4813      0.0067      
44.79       0.4028      0.0027      
47.04       0.339       0.0016      
50.13       0.2753      0.0025      
55.43       0.1773      0.0025      
65.95       0.0854      0.0019      
76.32       0.0366      0.0013      
86.54       0.018       0.0007      
96.6        0.0098      0.0004      
106.5       0.0058      0.0004      
