Projectile: 6Li; target: 138Ba; E = 21.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
25.2        1.11        
29.8        1.07        
35.4        1.14        
40.5        1.1         
44.7        1.06        
49.4        1.05        
54.9        0.98        
58.8        0.98        
64.7        1.04        
69.8        1.04        
74.9        1.          
80.         0.97        
84.7        0.93        
90.7        0.93        
95.8        0.93        
100.        0.89        
104.3       0.86        
109.4       0.86        
114.9       0.8         
120.        0.77        
125.1       0.72        
129.8       0.67        
135.8       0.64        
140.9       0.62        
145.5       0.597       
150.7       0.576       
155.3       0.536       
160.9       0.499       
164.3       0.45        
