Projectile: 6Li; target: 138Ba; E = 26.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
31.         1.13        
36.1        1.21        
41.2        1.06        
46.7        1.14        
51.         1.18        
56.1        1.14        
61.2        1.04        
65.9        1.19        
75.2        0.98        
80.3        0.83        
85.9        0.66        
91.         0.562       
96.1        0.432       
100.8       0.344       
110.6       0.248       
116.1       0.173       
120.8       0.162       
131.        0.134       
