Projectile: 6Li; target: 90Zr; E = 240.0 MeV
http://dx.doi.org/10.1103/PhysRevC.22.1522
Angle       R/s
3.77        6.52e-01    8.63e-02    
4.23        4.78e-01    6.98e-02    
4.68        3.95e-01    5.92e-02    
5.13        3.46e-01    6.07e-02    
5.59        2.59e-01    4.28e-02    
5.90        2.92e-01    3.94e-02    
6.36        1.84e-01    2.49e-02    
6.81        1.50e-01    2.21e-02    
7.26        1.59e-01    2.31e-02    
7.72        1.57e-01    2.30e-02    
8.04        1.54e-01    2.07e-02    
8.17        1.16e-01    1.58e-02    
8.49        9.66e-02    1.29e-02    
8.94        5.05e-02    8.74e-03    
9.40        4.55e-02    7.23e-03    
9.85        5.43e-02    7.57e-03    
10.23       5.91e-02    7.95e-03    
10.31       6.46e-02    8.85e-03    
10.68       6.49e-02    8.73e-03    
10.76       5.60e-02    7.74e-03    
11.14       4.78e-02    6.48e-03    
11.22       3.82e-02    5.31e-03    
11.59       2.33e-02    3.78e-03    
12.04       1.08e-02    1.82e-03    
12.36       9.97e-03    1.55e-03    
12.49       1.16e-02    1.93e-03    
12.81       1.64e-02    2.23e-03    
12.95       1.97e-02    2.73e-03    
13.26       2.53e-02    3.45e-03    
13.40       2.52e-02    3.47e-03    
13.71       2.67e-02    3.64e-03    
14.17       1.94e-02    2.81e-03    
14.48       1.04e-02    1.42e-03    
14.62       9.05e-03    1.29e-03    
14.94       4.03e-03    5.59e-04    
15.07       2.47e-03    4.15e-04    
15.39       2.33e-03    3.84e-04    
15.53       2.87e-03    4.56e-04    
15.84       6.61e-03    9.18e-04    
16.30       1.00e-02    1.38e-03    
16.61       9.95e-03    1.33e-03    
16.75       1.06e-02    1.46e-03    
17.06       8.58e-03    1.17e-03    
17.20       7.07e-03    1.01e-03    
17.52       4.53e-03    6.46e-04    
17.65       3.38e-03    4.91e-04    
17.97       1.37e-03    2.36e-04    
18.42       7.50e-04    1.30e-04    
18.74       1.66e-03    2.36e-04    
18.88       2.42e-03    3.48e-04    
19.19       3.63e-03    5.03e-04    
19.65       4.37e-03    6.52e-04    
19.78       4.30e-03    6.12e-04    
20.10       3.88e-03    5.56e-04    
20.55       2.41e-03    3.56e-04    
20.87       1.75e-03    2.49e-04    
21.00       1.09e-03    1.77e-04    
21.46       6.66e-04    1.18e-04    
21.77       7.85e-04    1.32e-04    
21.91       9.96e-04    1.69e-04    
22.23       1.22e-03    1.97e-04    
22.68       1.85e-03    2.66e-04    
23.13       1.86e-03    2.72e-04    
23.45       1.46e-03    2.36e-04    
23.58       1.50e-03    2.30e-04    
23.90       9.85e-04    1.56e-04    
24.04       1.03e-03    1.64e-04    
24.35       6.47e-04    1.07e-04    
24.80       5.45e-04    1.01e-04    
25.26       5.86e-04    1.05e-04    
25.71       8.27e-04    1.44e-04    
26.16       8.64e-04    1.47e-04    
26.18       8.53e-04    1.42e-04    
26.63       8.31e-04    1.36e-04    
27.09       6.92e-04    1.18e-04    
27.54       5.79e-04    1.02e-04    
27.99       4.20e-04    8.05e-05    
28.44       4.57e-04    9.10e-05    
28.89       4.96e-04    9.45e-05    
29.37       5.18e-04    9.73e-05    
29.82       5.73e-04    1.10e-04    
30.27       5.83e-04    1.08e-04    
30.72       5.15e-04    9.86e-05    
31.17       3.95e-04    9.19e-05    
31.62       4.61e-04    9.21e-05    
32.08       4.42e-04    8.80e-05    
32.53       4.50e-04    8.79e-05    
33.00       5.10e-04    1.01e-04    
33.45       4.66e-04    9.04e-05    
33.90       4.34e-04    8.63e-05    
34.35       4.37e-04    8.90e-05    
34.80       3.97e-04    8.03e-05    
35.25       3.30e-04    7.73e-05    
35.70       3.23e-04    7.58e-05    
36.17       3.40e-04    6.69e-05    
36.62       3.57e-04    6.95e-05    
37.07       3.20e-04    6.57e-05    
37.52       3.11e-04    6.03e-05    
37.97       2.93e-04    6.04e-05    
38.42       2.76e-04    7.03e-05    
38.87       2.56e-04    6.25e-05    
39.34       2.35e-04    5.68e-05    
39.79       2.10e-04    6.51e-05    
40.24       2.20e-04    6.36e-05    
40.69       1.91e-04    5.81e-05    
41.14       1.59e-04    4.96e-05    
41.59       1.66e-04    5.17e-05    
42.03       1.43e-04    4.44e-05    
