Projectile: 6Li; target: 112Sn; E = 35.0 MeV
http://dx.doi.org/10.1103/PhysRevC.83.024607
Angle       R/s
20.918      9.384e-01   2.968e-01   
23.741      9.415e-01   2.150e-01   
26.212      9.441e-01   2.166e-01   
31.153      9.495e-01   2.173e-01   
33.976      9.526e-01   3.013e-01   
36.451      8.326e-01   3.418e-01   
41.749      7.301e-01   2.989e-01   
44.225      5.958e-01   1.367e-01   
46.704      4.539e-01   1.041e-01   
52.007      3.470e-01   1.422e-01   
56.964      2.014e-01   1.026e-01   
62.628      1.170e-01   3.700e-02   
67.230      7.271e-02   3.705e-02   
71.835      4.219e-02   1.732e-02   
77.139      3.010e-02   1.855e-02   
