Projectile: 6Li; target: 112Sn; E = 22.0 MeV
http://dx.doi.org/10.1103/PhysRevC.94.061602
Angle       R/s
41.97       1.000       
52.35       1.000       
57.52       1.010       
62.66       0.980       
67.78       0.970       
72.89       0.950       
77.97       0.890       
83.03       0.840       
88.06       0.790       
93.07       0.730       
115.83      0.473       
116.81      0.473       
117.79      0.473       
118.76      0.462       
119.74      0.440       
120.71      0.440       
121.69      0.429       
122.66      0.418       
123.63      0.407       
124.61      0.396       
125.58      0.385       
126.55      0.385       
127.52      0.385       
128.49      0.374       
137.17      0.330       
141.98      0.310       
146.76      0.280       
151.54      0.250       
155.35      0.246       
156.30      0.246       
157.25      0.244       
158.20      0.243       
159.15      0.234       
160.10      0.232       
161.05      0.204       
162.00      0.204       
162.95      0.192       
163.90      0.192       
