Projectile: 6Li; target: 90Zr; E = 21.0 MeV
http://dx.doi.org/10.1103/PhysRevC.78.044617
Angle       R/s
36.93       1.0000      1.3522e-03  
47.44       1.0223      2.1813e-03  
50.05       1.0298      2.7242e-03  
52.67       1.0256      4.7674e-03  
57.87       1.0158      3.3362e-03  
60.46       0.9957      4.2146e-03  
63.05       0.9644      6.3565e-03  
68.21       0.8843      4.1751e-03  
68.21       0.8853      4.1357e-03  
70.77       0.8354      4.5996e-03  
78.44       0.6888      4.639e-03   
80.98       0.6388      5.0042e-03  
83.51       0.6042      4.2344e-03  
93.57       0.4281      4.2245e-03  
96.07       0.3901      3.346e-03   
98.56       0.3626      2.3787e-03  
103.52      0.2919      3.5533e-03  
105.99      0.2724      3.198e-03   
108.45      0.2519      2.2504e-03  
123.07      0.1604      3.2276e-03  
127.89      0.1357      2.892e-03   
132.69      0.1229      3.0401e-03  
137.47      0.1069      2.7341e-03  
142.22      0.0895      2.4281e-03  
146.96      0.0810      2.2011e-03  
151.68      0.0790      2.2998e-03  
161.08      0.0702      2.2011e-03  
170.44      0.0592      1.7865e-03  
