Projectile: 6Li; target: 80Se; E = 26.0 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
18.78       1.000       0.084       
21.46       1.002       0.101       
24.44       1.013       0.084       
27.12       1.176       0.115       
29.95       1.069       0.087       
32.62       1.122       0.098       
35.27       0.921       0.083       
37.92       0.936       0.096       
45.83       0.486       0.040       
48.46       0.434       0.043       
50.72       0.422       0.016       
53.34       0.359       0.013       
56.10       0.266       0.016       
58.71       0.221       0.017       
61.61       0.186       0.008       
64.19       0.151       0.008       
66.78       0.125       0.017       
69.35       0.102       0.007       
77.03       0.053       0.003       
79.57       0.043       0.003       
81.80       0.045       0.012       
84.33       0.033       0.013       
86.85       0.023       0.005       
89.36       0.019       0.005       
