Projectile: 6Li; target: 90Zr; E = 17.0 MeV
http://dx.doi.org/10.1103/PhysRevC.78.044617
Angle       R/s
52.67       1.0019      2.e-03      
52.67       1.0013      3.e-03      
55.37       1.0033      3.28e-03    
57.87       0.9977      3.59e-03    
63.05       0.9973      2.72e-03    
68.21       0.9954      4.06e-03    
70.77       0.9906      4.98e-03    
73.34       0.9930      3.2e-03     
78.44       0.9720      5.1e-03     
80.98       0.9732      6.14e-03    
83.51       0.9680      4.81e-03    
88.56       0.9541      5.54e-03    
91.07       0.9374      6.6e-03     
93.57       0.9345      5.61e-03    
98.56       0.9093      6.54e-03    
103.52      0.8727      5.71e-03    
108.45      0.8427      7.15e-03    
118.22      0.7760      6.96e-03    
123.07      0.7376      6.58e-03    
125.00      0.7286      7.31e-03    
127.41      0.7060      7.21e-03    
130.29      0.6929      7.37e-03    
132.69      0.6822      6.8e-03     
134.60      0.6728      7.51e-03    
136.99      0.6570      7.4e-03     
139.85      0.6347      7.46e-03    
144.12      0.6130      6.89e-03    
146.49      0.6011      6.78e-03    
149.32      0.5923      6.87e-03    
151.68      0.5823      5.07e-03    
161.08      0.5443      4.99e-03    
170.44      0.5333      4.54e-03    
