Projectile: 6Li; target: 124Sn; E = 18.5 MeV
http://dx.doi.org/10.1103/PhysRevC.108.044602
Angle       R/s
52.1        1.00907     0.004115    
57.3        0.99599     0.004791    
62.4        0.99801     0.005856    
67.5        0.99693     0.006125    
72.6        1.00244     0.006785    
77.7        0.99499     0.008796    
82.7        0.998       0.008833    
87.8        0.998       0.010375    
102.7       0.99191     0.010574    
112.6       0.9762      0.01188     
122.4       0.94281     0.012353    
132.1       0.9088      0.012992    
141.8       0.87491     0.013798    
151.4       0.85312     0.024353    
161.0       0.83429     0.014893    
170.5       0.81458     0.015473    
