Projectile: 6Li; target: 90Zr; E = 19.0 MeV
http://dx.doi.org/10.1103/PhysRevC.78.044617
Angle       R/s
36.93       1.0006      1.775e-03   
42.19       1.0130      1.96e-03    
44.82       0.9991      1.82e-03    
47.44       0.9964      2.819e-03   
52.67       0.9999      2.92e-03    
52.67       0.9991      1.353e-03   
55.27       0.9856      2.642e-03   
57.87       1.0057      3.707e-03   
63.05       0.9975      3.668e-03   
63.05       0.9960      1.856e-03   
65.63       0.9832      3.262e-03   
68.21       0.9978      2.941e-03   
70.77       0.9792      5.898e-03   
73.34       0.9630      1.57e-04    
78.44       0.9211      7.746e-03   
80.98       0.9035      9.61e-04    
83.51       0.8960      1.109e-03   
88.56       0.8031      8.647e-03   
91.07       0.7799      1.521e-03   
93.57       0.7611      3.08e-03    
96.07       0.7197      5.353e-03   
98.56       0.6819      4.733e-03   
103.52      0.6342      2.22e-02    
105.99      0.5854      5.516e-03   
108.45      0.5651      4.89e-03    
115.79      0.4742      5.065e-03   
118.22      0.4615      4.482e-03   
123.07      0.4105      4.765e-03   
127.89      0.3699      4.486e-03   
132.69      0.3352      4.621e-03   
137.47      0.3152      4.402e-03   
142.22      0.2882      4.134e-03   
144.59      0.2787      8.217e-03   
146.96      0.2612      3.832e-03   
151.68      0.2529      3.577e-03   
154.03      0.2500      8.024e-03   
161.08      0.2290      3.467e-03   
170.44      0.2129      3.07e-03    
