Projectile: 6Li; target: 80Se; E = 19.0 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
24.03       1.001       0.139       
26.82       1.016       0.161       
29.55       1.001       0.022       
32.33       0.984       0.035       
35.28       0.981       0.019       
38.05       0.963       0.033       
40.30       1.058       0.025       
43.06       1.057       0.032       
45.60       1.112       0.038       
48.35       1.044       0.046       
50.76       1.103       0.033       
53.50       1.071       0.044       
55.82       1.000       0.139       
58.57       0.967       0.032       
60.72       0.959       0.032       
63.68       0.885       0.033       
66.79       0.798       0.084       
69.50       0.753       0.022       
71.67       0.712       0.030       
74.36       0.633       0.039       
76.81       0.594       0.024       
79.49       0.502       0.025       
81.81       0.485       0.027       
84.46       0.446       0.021       
86.74       0.389       0.049       
89.34       0.340       0.021       
91.96       0.323       0.029       
94.26       0.297       0.015       
99.84       0.266       0.024       
102.03      0.208       0.009       
104.52      0.214       0.017       
106.98      0.172       0.014       
109.45      0.167       0.017       
111.69      0.143       0.009       
114.14      0.139       0.011       
116.58      0.116       0.005       
119.01      0.103       0.004       
121.84      0.089       0.008       
123.46      0.099       0.007       
126.39      0.076       0.005       
128.78      0.067       0.006       
131.18      0.070       0.006       
133.56      0.058       0.004       
135.85      0.064       0.007       
138.22      0.048       0.003       
140.45      0.053       0.002       
142.81      0.046       0.003       
144.84      0.045       0.003       
147.19      0.039       0.002       
