Projectile: 6Li; target: 27Al; E = 10.0 MeV
http://dx.doi.org/10.1103/PhysRevC.75.017602
Angle       R/s
19.5        1.011       0.007       
21.9        1.013       0.004       
24.2        0.985       0.004       
26.7        1.009       0.005       
29.1        1.033       0.005       
31.5        1.046       0.006       
33.9        1.044       0.007       
36.4        1.035       0.006       
38.7        1.031       0.007       
41.1        1.016       0.006       
43.5        0.977       0.007       
45.8        0.968       0.007       
48.3        0.909       0.009       
50.6        0.886       0.010       
52.9        0.861       0.010       
55.3        0.813       0.010       
57.6        0.789       0.010       
59.9        0.709       0.013       
62.2        0.676       0.014       
64.5        0.643       0.013       
66.8        0.602       0.013       
69.0        0.559       0.012       
71.2        0.548       0.017       
73.4        0.554       0.019       
75.6        0.516       0.016       
77.8        0.535       0.017       
80.0        0.472       0.015       
82.1        0.444       0.012       
84.3        0.437       0.013       
86.4        0.396       0.011       
88.5        0.357       0.011       
90.6        0.362       0.010       
92.7        0.354       0.011       
94.7        0.322       0.013       
96.8        0.302       0.011       
98.8        0.299       0.011       
100.8       0.286       0.012       
102.8       0.268       0.014       
104.8       0.276       0.013       
106.8       0.266       0.015       
108.8       0.268       0.007       
110.8       0.254       0.010       
112.7       0.251       0.010       
114.6       0.229       0.009       
116.5       0.204       0.010       
118.5       0.209       0.017       
120.3       0.155       0.023       
122.2       0.156       0.030       
124.0       0.170       0.026       
125.9       0.124       0.035       
127.7       0.164       0.011       
129.5       0.141       0.016       
131.3       0.113       0.014       
133.1       0.076       0.017       
134.8       0.088       0.012       
