Projectile: 6Li; target: 90Zr; E = 25.0 MeV
http://dx.doi.org/10.1103/PhysRevC.78.044617
Angle       R/s
29.53       1.0814      1.492e-03   
31.64       1.0000      2.496e-03   
36.93       1.0509      2.795e-03   
39.56       1.0478      3.793e-03   
42.19       1.0367      4.365e-03   
44.82       1.0350      3.671e-03   
47.44       0.9653      4.264e-03   
50.06       0.8773      5.352e-03   
52.67       0.8061      5.286e-03   
55.27       0.7284      4.502e-03   
57.87       0.6420      4.55e-03    
60.46       0.5714      5.537e-03   
63.05       0.5176      3.357e-03   
65.63       0.4478      4.363e-03   
68.21       0.3855      3.386e-03   
70.77       0.3420      3.107e-03   
73.34       0.2956      3.149e-03   
75.89       0.2506      3.001e-03   
78.44       0.2207      3.225e-03   
80.98       0.1979      2.941e-03   
83.01       0.1592      2.689e-03   
86.04       0.1380      2.714e-03   
88.05       0.1232      2.665e-03   
91.07       0.1059      2.358e-03   
93.57       0.0914      2.265e-03   
96.07       0.0810      2.241e-03   
103.52      0.0519      1.964e-03   
113.35      0.0268      1.438e-03   
123.07      0.0191      1.547e-03   
132.69      0.0127      1.123e-03   
