Projectile: 6Li; target: 27Al; E = 7.0 MeV
http://dx.doi.org/10.1103/PhysRevC.75.017602
Angle       R/s
21.9        0.988       0.032       
23.0        0.996       0.014       
24.4        1.024       0.018       
26.8        0.988       0.008       
29.1        1.002       0.010       
31.5        1.003       0.009       
33.9        0.996       0.012       
35.2        0.993       0.017       
36.3        0.984       0.009       
38.6        0.974       0.014       
41.1        0.992       0.012       
43.5        1.021       0.010       
45.8        0.981       0.013       
47.1        0.976       0.031       
48.2        0.999       0.010       
50.5        1.004       0.015       
52.9        0.968       0.020       
55.3        0.999       0.017       
57.6        0.996       0.021       
58.8        0.993       0.048       
59.9        1.014       0.017       
62.1        1.033       0.024       
64.5        0.965       0.030       
66.8        0.962       0.024       
69.0        0.943       0.029       
71.2        0.910       0.022       
73.5        0.890       0.032       
75.6        0.920       0.041       
77.8        0.966       0.034       
80.0        0.966       0.040       
81.1        0.976       0.056       
82.2        0.978       0.030       
84.2        0.955       0.018       
84.3        0.947       0.044       
86.4        0.894       0.032       
88.5        0.908       0.025       
90.6        0.861       0.030       
91.6        0.857       0.056       
92.7        0.920       0.023       
94.8        0.919       0.013       
96.8        0.895       0.034       
98.8        0.900       0.027       
100.8       0.895       0.021       
102.9       0.899       0.025       
105.0       0.916       0.015       
106.8       0.857       0.030       
108.8       0.877       0.020       
110.8       0.868       0.016       
112.7       0.837       0.024       
114.8       0.856       0.022       
116.5       0.846       0.021       
118.5       0.857       0.023       
120.3       0.811       0.018       
122.2       0.792       0.028       
124.0       0.807       0.028       
125.9       0.824       0.024       
127.7       0.872       0.028       
129.5       0.849       0.022       
131.3       0.811       0.035       
133.1       0.843       0.035       
134.8       0.769       0.029       
136.5       0.786       0.028       
138.3       0.744       0.027       
140.0       0.786       0.040       
141.6       0.771       0.017       
143.4       0.757       0.031       
146.7       0.753       0.019       
148.4       0.765       0.026       
149.9       0.738       0.013       
150.0       0.748       0.028       
151.7       0.766       0.026       
153.2       0.761       0.018       
154.9       0.765       0.014       
156.5       0.729       0.022       
158.1       0.738       0.022       
159.7       0.744       0.019       
161.2       0.727       0.017       
162.8       0.738       0.020       
164.4       0.743       0.022       
165.9       0.732       0.022       
167.5       0.726       0.018       
