Projectile: 6Li; target: 138Ba; E = 22.0 MeV
http://dx.doi.org/10.1103/PhysRevC.59.2103
Angle       R/s
25.7        1.11        
29.5        1.08        
35.         1.08        
39.7        1.04        
44.8        1.04        
49.9        1.01        
54.2        0.95        
59.7        1.04        
64.8        1.11        
69.5        1.15        
75.9        1.08        
80.5        1.04        
84.8        1.01        
90.7        0.98        
95.8        0.98        
99.7        0.92        
104.8       0.89        
110.3       0.89        
115.        0.81        
120.5       0.76        
124.8       0.73        
130.3       0.69        
136.3       0.585       
140.5       0.531       
145.6       0.548       
150.3       0.548       
155.8       0.482       
165.2       0.482       
