Projectile: 6Li; target: 90Zr; E = 11.0 MeV
http://dx.doi.org/10.1103/PhysRevC.78.044617
Angle       R/s
42.19       0.9992      4.27e-03    
52.67       1.0020      6.41e-03    
63.05       1.0025      8.07e-03    
78.64       1.0077      1.16e-02    
83.26       1.0106      1.23e-02    
86.09       1.0019      1.01e-02    
88.56       0.9995      1.03e-02    
93.57       0.9986      1.41e-02    
98.56       0.9996      1.2e-02     
98.56       1.0021      1.18e-02    
103.52      1.0016      1.63e-02    
108.45      0.9992      1.07e-02    
108.45      1.0000      1.34e-02    
108.45      1.0037      1.25e-02    
115.45      0.9983      1.35e-02    
118.22      1.0028      1.18e-02    
122.15      0.9987      1.36e-02    
127.89      0.9991      1.17e-02    
132.74      0.9957      1.62e-02    
139.85      0.9992      1.29e-02    
142.22      0.9922      1.23e-02    
146.96      0.9854      1.3e-02     
154.13      0.9843      1.34e-02    
156.38      0.9875      1.34e-02    
156.38      0.9960      1.11e-02    
158.73      0.9925      1.25e-02    
161.08      0.9905      1.18e-02    
163.51      0.9876      1.36e-02    
163.89      0.9870      1.35e-02    
