Projectile: 6Li; target: 80Se; E = 16.0 MeV
http://dx.doi.org/10.1103/PhysRevC.86.044607
Angle       R/s
21.48       1.004       0.033       
24.14       1.005       0.027       
27.14       0.996       0.038       
29.79       0.995       0.031       
32.64       0.961       0.030       
35.29       0.982       0.038       
37.94       0.984       0.030       
40.58       0.979       0.031       
48.48       0.926       0.032       
51.10       0.951       0.028       
53.34       0.985       0.015       
55.96       0.992       0.029       
58.71       0.994       0.017       
61.32       0.978       0.022       
64.18       0.994       0.017       
66.78       1.020       0.036       
69.34       0.990       0.018       
71.93       1.017       0.026       
76.89       0.976       0.033       
79.56       0.896       0.022       
81.91       0.877       0.021       
84.28       0.860       0.017       
86.96       0.832       0.016       
89.46       0.785       0.014       
92.06       0.763       0.023       
94.75       0.687       0.039       
97.24       0.697       0.016       
99.72       0.648       0.035       
102.04      0.607       0.047       
104.51      0.582       0.032       
107.10      0.555       0.046       
109.56      0.520       0.025       
111.64      0.545       0.013       
114.09      0.503       0.022       
116.65      0.480       0.017       
119.08      0.456       0.021       
121.74      0.440       0.018       
124.17      0.459       0.019       
126.54      0.424       0.020       
128.95      0.427       0.016       
131.17      0.378       0.009       
133.57      0.377       0.022       
135.86      0.324       0.008       
138.24      0.349       0.014       
140.58      0.330       0.016       
142.94      0.328       0.020       
145.36      0.318       0.012       
147.71      0.305       0.021       
150.22      0.308       0.019       
152.55      0.303       0.017       
154.74      0.276       0.012       
157.07      0.279       0.019       
159.53      0.272       0.020       
161.84      0.271       0.017       
163.88      0.257       0.026       
166.19      0.274       0.019       
168.50      0.257       0.014       
170.81      0.254       0.011       
