Projectile: 6Li; target: 116Sn; E = 35.0 MeV
http://dx.doi.org/10.1103/PhysRevC.83.024607
Angle       R/s
20.916      9.787e-01   8.068e-01   
26.254      9.595e-01   7.920e-01   
31.430      9.413e-01   4.652e-01   
36.768      8.349e-01   4.127e-01   
42.103      6.062e-01   2.980e-01   
47.112      3.607e-01   2.962e-01   
52.448      2.619e-01   2.662e-01   
57.457      1.559e-01   1.012e-01   
62.628      8.386e-02   5.464e-02   
67.798      4.512e-02   2.226e-02   
72.970      2.683e-02   1.319e-02   
77.977      1.182e-02   9.735e-03   
