Projectile: 6Li; target: 90Zr; E = 13.0 MeV
http://dx.doi.org/10.1103/PhysRevC.78.044617
Angle       R/s
47.44       0.9952      4.19e-03    
52.67       1.0484      5.27e-03    
57.87       1.0280      6.33e-03    
63.05       0.9994      7.4e-03     
83.51       0.9896      6.57e-03    
88.56       1.0042      8.8e-03     
93.57       1.0043      5.64e-03    
98.56       1.0477      9.91e-03    
103.52      1.0352      6.22e-03    
113.35      1.0003      9.08e-03    
118.22      1.0204      9.65e-03    
123.07      0.9919      7.2e-03     
127.89      1.0287      3.e-03      
132.69      1.0626      1.136e-03   
139.85      0.9795      9.5e-03     
142.22      0.9614      9.69e-03    
146.96      1.0392      1.64e-03    
149.32      0.9570      4.8e-03     
151.68      0.9778      1.6e-03     
154.50      0.9381      1.1e-03     
156.38      0.9534      1.9e-03     
158.73      0.9937      9.7e-03     
163.89      0.9555      9.12e-03    
165.76      0.9498      1.03e-02    
173.24      0.9652      9.69e-03    
