Projectile: 6Li; target: 28Si; E = 7.5 MeV
http://dx.doi.org/10.1016/S0370-2693(03)00079-0
Angle       R/s
30.8        0.967       0.00055     
34.34       0.91        0.0007      
38.         0.937       0.00083     
41.5        0.89        0.0025      
45.6        0.95        0.003       
49.9        0.93        0.004       
53.2        0.91        0.005       
57.2        0.905       0.004       
60.6        0.98        0.008       
64.02       0.945       0.0083      
65.         0.94        0.008       
68.75       0.935       0.008       
71.8        0.937       0.06        
76.8        0.937       0.06        
80.03       0.937       0.06        
83.2        0.937       0.06        
86.4        0.93        0.06        
89.         0.95        0.09        
92.         0.94        0.013       
95.32       0.89        0.014       
97.8        0.92        0.06        
100.9       0.92        0.06        
103.9       0.92        0.06        
106.9       0.92        0.06        
111.3       0.97        0.0198      
114.6       0.88        0.019       
117.4       0.86        0.019       
123.        0.92        0.023       
125.2       0.88        0.019       
128.        0.95        0.02        
129.1       0.96        0.027       
132.        0.96        0.02        
135.5       0.9         0.022       
137.7       0.925       0.0196      
140.8       0.95        0.0332      
143.3       0.94        0.0296      
146.7       0.86        0.028       
