Projectile: 7Li; target: 12C; E = 12 MeV
http://dx.doi.org/10.1016/j.nuclphysa.2007.05.013
Angle       R/s
26.         0.563       1.0000e-2   
33.8        0.397       1.2000e-2   
41.6        0.373       1.4000e-2   
47.7        0.444       4.0000e-3   
49.3        0.29        4.0000e-3   
55.3        0.287       5.0000e-3   
56.8        0.193       3.0000e-3   
62.8        0.233       7.0000e-3   
85.6        9.1000e-2   4.0000e-3   
92.3        0.104       6.0000e-3   
