Projectile: 7Li; target: 4He; E = 11.5 MeV
http://dx.doi.org/10.1103/PhysRevC.63.064601
Angle       C/s
1.995e+01   1.460e+03   
2.409e+01   6.342e+02   
2.824e+01   2.423e+02   
3.125e+01   4.289e+01   
3.501e+01   1.692e+01   
3.991e+01   2.258e+01   
4.329e+01   2.827e+01   
4.706e+01   3.112e+01   
5.082e+01   2.737e+01   
5.421e+01   1.692e+01   
5.835e+01   1.228e+01   
6.212e+01   8.356e+00   
6.551e+01   6.676e+00   
6.927e+01   7.590e+00   
7.266e+01   7.837e+00   
7.605e+01   9.500e+00   
7.981e+01   8.910e+00   
8.320e+01   8.092e+00   
8.546e+01   6.465e+00   
8.960e+01   5.687e+00   
9.336e+01   5.872e+00   
9.675e+01   5.872e+00   
9.976e+01   7.118e+00   
1.028e+02   7.837e+00   
1.050e+02   8.910e+00   
1.099e+02   1.152e+01   
1.141e+02   1.309e+01   
1.205e+02   1.268e+01   
1.257e+02   1.046e+01   
1.310e+02   8.628e+00   
1.352e+02   7.118e+00   
1.400e+02   7.590e+00   
1.453e+02   1.228e+01   
1.502e+02   1.268e+01   
1.559e+02   1.639e+01   
1.604e+02   2.187e+01   
1.653e+02   3.772e+01   
