Projectile: 6Li; target: 4He; E = 11.1 MeV
http://dx.doi.org/10.1103/PhysRevC.53.2862
Angle       C/s
10.0        7096.1      
13.3        2602.4      
16.6        1295.6      
20.0        819.9       
22.5        584.1       
25.8        322.5       
41.4        10.5        
44.6        13.3        
47.9        18.9        
51.1        20.0        
65.4        10.0        
68.5        8.8         
71.6        9.1         
74.7        10.1        
76.9        8.8         
80.0        8.4         
82.9        9.0         
85.9        6.9         
88.1        3.0         
91.0        2.2         
93.9        1.8         
96.7        1.4         
100.0       0.8         
103.0       2.6         
107.0       4.0         
111.0       7.7         
115.0       12.8        
118.0       17.6        
122.0       21.6        
126.0       22.2        
130.0       20.1        
134.0       13.7        
138.0       8.4         
149.0       4.3         
153.0       8.4         
