Projectile: 8Li; target: 58Ni; E = 19.6 MeV
http://dx.doi.org/10.1103/PhysRevC.48.308
Angle       R/s
2.521e+01   1.201e+00   3.930e-02   
2.790e+01   1.188e+00   5.881e-02   
3.033e+01   9.387e-01   4.643e-02   
3.124e+01   1.069e+00   8.965e-02   
3.377e+01   1.075e+00   7.152e-02   
3.619e+01   8.912e-01   5.926e-02   
4.310e+01   1.079e+00   3.532e-02   
4.729e+01   7.522e-01   5.002e-02   
5.322e+01   5.520e-01   5.597e-02   
5.326e+01   4.625e-01   5.515e-02   
5.563e+01   4.648e-01   4.712e-02   
5.837e+01   3.732e-01   7.951e-02   
6.420e+01   3.902e-01   9.863e-02   
6.678e+01   3.234e-01   1.017e-01   
6.923e+01   2.245e-01   9.539e-02   
